family,dataset,metric,direction,first,second,comparison,n_paired,mean_paired_diff_second_minus_first,median_paired_diff_second_minus_first,raw_p,bh_q,raw_sig,bh_sig,bh_q_lt_0.001,bh_q_lt_0.01,bh_q_lt_0.05
all7,CVC-ColonDB,iou,higher_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,380,0.001193282768,1.697151336e-14,0.004204315053,0.01131930976,True,True,False,False,True
all7,CVC-ColonDB,iou,higher_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,380,0.001187019176,3.926137049e-14,0.00155912706,0.004707117123,True,True,False,True,True
all7,CVC-ColonDB,iou,higher_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,380,0.007872369676,1.208532956e-13,0.01228092247,0.02653285718,True,True,False,False,True
all7,CVC-ColonDB,precision,higher_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,380,0.01165845171,2.859489579e-12,0.000113601135,0.0004623302005,True,True,True,True,True
all7,CVC-ColonDB,precision,higher_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,380,0.01370130568,4.241412706e-12,4.641810412e-06,3.008580822e-05,True,True,True,True,True
all7,CVC-ColonDB,precision,higher_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,380,0.002066736538,7.357006629e-13,1.620756322e-06,1.134529426e-05,True,True,True,True,True
all7,CVC-ColonDB,precision,higher_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,380,0.002042853974,0.0003274674489,2.164997118e-09,2.10485831e-08,True,True,True,True,True
all7,CVC-ColonDB,precision,higher_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,380,0.01163456914,1.176156873e-12,0.001560073104,0.004707117123,True,True,False,True,True
all7,CVC-ColonDB,recall,higher_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,380,-0.005914034283,0,0.04759560613,0.08860884121,True,False,False,False,False
all7,CVC-ColonDB,recall,higher_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,380,-0.006353273567,0,0.02034398233,0.04238329652,True,True,False,False,True
all7,CVC-ColonDB,recall,higher_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,380,-0.0007549271112,0,0.0005876809906,0.002142586945,True,True,False,True,True
all7,CVC-ColonDB,recall,higher_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,380,-0.0004392392832,0,0.0001893959609,0.0007532793898,True,True,True,True,True
all7,CVC-ColonDB,recall,higher_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,380,-0.005598346455,0,0.06013745309,0.1084954051,False,False,False,False,False
all7,ETIS-LaribPolypDB,assd,lower_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,196,-2.556708309,0.3796695187,0.9759212707,0.9759212707,False,False,False,False,False
all7,ETIS-LaribPolypDB,assd,lower_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,196,-1.419299342,-0.1140387607,0.8572788496,0.8938545071,False,False,False,False,False
all7,ETIS-LaribPolypDB,assd,lower_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,196,-0.1430587279,-0.3750218833,0.04705816655,0.0885503134,True,False,False,False,False
all7,ETIS-LaribPolypDB,assd,lower_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,196,1.137408967,-0.3614115104,0.1354919869,0.2117062295,False,False,False,False,False
all7,ETIS-LaribPolypDB,assd,lower_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,196,-1.276240614,0.369361108,0.8277660004,0.8813079842,False,False,False,False,False
all7,ETIS-LaribPolypDB,boundary_dice,higher_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,196,0.002893100309,2.758664965e-13,0.1531778979,0.2259573454,False,False,False,False,False
